Bahasa,Penilaian,Saran,Kategori,Tahun
id,4.0,Super good,General Affair,2022
id,,Tidak ada,General Affair,2022
id,,ok,General Affair,2022
id,,baik,General Affair,2022
id,3.0,kampus sangat bersih dan tertata dengan rapih,General Affair,2022
id,4.0,"Sangat baik, hanya saja mungkin lebih diperhatikan untuk kebersihan setiap lantainya",General Affair,2022
id,4.0,"kebersihan pada tempat sampah, menambahkan tempat sampah.",General Affair,2022
id,3.0,tidak ad,General Affair,2022
id,3.0,Bagus,General Affair,2022
id,4.0,Baik,General Affair,2022
id,3.0,Baik,General Affair,2022
id,3.0,"sudah baik, makin ditingkatkan",General Affair,2022
id,4.0,Sudah sangat baik,General Affair,2022
id,4.0,Sangat bersih,General Affair,2022
id,,-,General Affair,2022
id,,Harap selalu dijaga dalam kebersihan di semua lingkungan kampus,General Affair,2022
id,3.0,kampus sudah bersih dan sejuk,General Affair,2022
id,,lebih bersih lingkungan kampus,General Affair,2022
id,,Bersih dan teratur,General Affair,2022
id,,-,General Affair,2022
id,,Bersih dan rapih,General Affair,2022
id,4.0,-,General Affair,2022
id,,bagus,General Affair,2022
id,,kurang tau belum pernah ke kampus,General Affair,2022
id,4.0,Sungguh sangat bersih,General Affair,2022
id,3.0,Lebih terjadwal waktu pembuangan sampah,General Affair,2022
id,4.0,Sudah sangat bersih,General Affair,2022
id,4.0,Sudah bersih,General Affair,2022
id,,Excellent,General Affair,2022
id,4.0,Sangat Bersih,General Affair,2022
id,,Sudah baik,General Affair,2022
id,3.0,Perlu ditingkatkan,General Affair,2022
id,4.0,Sudah bagus,General Affair,2022
id,3.0,"Bersih, cuma lapangan basket debunya tebal sekali",General Affair,2022
id,4.0,Lingkungan kampus sangat bersih,General Affair,2022
id,4.0,Sangat bersih,General Affair,2022
id,3.0,Rumput kurang rapih,General Affair,2022
id,4.0,Tingkatkan terus,General Affair,2022
id,,Baik,General Affair,2022
id,4.0,sudah baik,General Affair,2022
id,,Sudah sangat bagus,General Affair,2022
id,4.0,sangat bersih,General Affair,2022
id,,Bersih.,General Affair,2022
id,3.0,Dapat dipertahankan kembali,General Affair,2022
id,3.0,"untuk gedung B, kebersihan masih kurang baik",General Affair,2022
id,,Sejuk dan sangat rapi,General Affair,2022
id,3.0,-,General Affair,2022
id,4.0,baik,General Affair,2022
id,4.0,Sangat bersih,General Affair,2022
id,,Jangan membuat yang bersih jadi kotor,General Affair,2022
id,,tidak ada,General Affair,2022
id,3.0,Gedung udah mulai kotor (gedung b),General Affair,2022
id,,Sudah baik,General Affair,2022
id,,Bagus,General Affair,2022
id,,Tidak pernah ke kampus,General Affair,2022
id,4.0,Bagus,General Affair,2022
id,,-,General Affair,2022
id,3.0,di kebanyakan tempat bersih namun di gedung d ada beberapa tempat yang memiliki banyak debu,General Affair,2022
id,3.0,Sudah bags tetapi toiletry suck kurang bearish,General Affair,2022
id,4.0,sudah cukup baik,General Affair,2022
id,4.0,bagus,General Affair,2022
id,3.0,Tidak ada,General Affair,2022
id,4.0,-,General Affair,2022
id,4.0,Baik,General Affair,2022
id,4.0,Sangat baik,General Affair,2022
id,,bersih,General Affair,2022
id,,Sudah baik,General Affair,2022
id,,-,General Affair,2022
id,3.0,Sudah baik,General Affair,2022
id,4.0,Sudah cukup baik,General Affair,2022
id,3.0,baik,General Affair,2022
id,4.0,Tidak ditemukan adanya sampah yang berserakan,General Affair,2022
id,3.0,Baik,General Affair,2022
id,3.0,Sudah baik pertahankan,General Affair,2022
id,4.0,Lingkungan yang dirawat secara teratur membuat lingkungan kampus bersih.,General Affair,2022
id,3.0,Baik,General Affair,2022
id,3.0,"Semaasa kuliah offline, kelas dan selasar jarang sekali dibersihkan, terlihat dari debu yang tebal, sampah permen dan tissue yang berserakan sampai berhari-hari. Alat penunjang kebersihan seperti sapu, pel, dan lain-lain sulit untuk ditemukan. Jika mau pinjam susah banget. Tolong diperhatikan aja khususnya di gedung B.",General Affair,2022
id,3.0,Baik,General Affair,2022
id,3.0,Baik,General Affair,2022
id,3.0,bersih,General Affair,2022
id,3.0,sangat baik,General Affair,2022
id,3.0,Sudah bersih,General Affair,2022
id,3.0,Cukup baik,General Affair,2022
id,4.0,Cukup baik,General Affair,2022
id,,Sangat baik,General Affair,2022
id,3.0,Cukup baik,General Affair,2022
id,4.0,"Sudah baik, pertahankan.",General Affair,2022
id,4.0,Sudah cukup baik,General Affair,2022
id,,PUAS,General Affair,2022
id,,Sudah cukup baik,General Affair,2022
id,4.0,"Sangat baik, terus dipertahankan",General Affair,2022
id,3.0,Sudah sangat bersih dan terjaga,General Affair,2022
id,4.0,Sangat bersih,General Affair,2022
id,4.0,Kebersihan sudah bagus,General Affair,2022
id,,Sangat Bersih Dan Rapu,General Affair,2022
id,4.0,Sangat bagus,General Affair,2022
id,4.0,sudah baik,General Affair,2022
id,3.0,Sudah baik,General Affair,2022
id,3.0,_,General Affair,2022
id,4.0,tidak ada yang di tingkatkan sudah cukup,General Affair,2022
id,4.0,Baik,General Affair,2022
id,4.0,-,General Affair,2022
id,4.0,Sudah sangat baik,General Affair,2022
id,3.0,-,General Affair,2022
id,,Baik,General Affair,2022
id,4.0,Kebersihan kampus selalu terjaga,General Affair,2022
id,,Baik,General Affair,2022
id,4.0,SANGAT BAIK,General Affair,2022
id,4.0,baik,General Affair,2022
id,4.0,terkadang banyak debu mungkin gara2 psbb,General Affair,2022
id,3.0,Cukup baik,General Affair,2022
id,4.0,Sudah sangat baik adanya,General Affair,2022
id,,baik,General Affair,2022
id,3.0,sangat puas,General Affair,2022
id,4.0,Sangat baik,General Affair,2022
id,4.0,sudah baik,General Affair,2022
id,,Sangat bersih,General Affair,2022
id,4.0,-,General Affair,2022
id,,"sangat bersih, indah dan nyaman",General Affair,2022
id,,Sudah baik,General Affair,2022
id,4.0,baik,General Affair,2022
id,,Sudah baik dan bersih.,General Affair,2022
id,4.0,-,General Affair,2022
id,,-,General Affair,2022
id,,bersih,General Affair,2022
id,3.0,Bagus,General Affair,2022
id,4.0,Lingkungan kampus bersih,General Affair,2022
id,4.0,Bersih dan terjaga,General Affair,2022
id,3.0,baik,General Affair,2022
id,4.0,"bearish, wangi, teratur",General Affair,2022
id,4.0,baik,General Affair,2022
id,4.0,Baik,General Affair,2022
id,4.0,Sudah sangat bersih,General Affair,2022
id,,Sangat baik,General Affair,2022
id,3.0,"Bersih, tapi parkiran agak kotor",General Affair,2022
id,4.0,sudah sangat baik,General Affair,2022
id,4.0,sangat terjaga kebersihannya,General Affair,2022
id,3.0,"Terdapat beberapa spot tempat sampah yang sudah rusak, bahkan tidak ada tempat sampah di beberapa tempat",General Affair,2022
id,4.0,"Bersih sekali, sampai saya tidak boleh memutar ke bagian kelas. Padahal saya bayar uang kuliah tepat waktu koq.",General Affair,2022
id,3.0,Bagus,General Affair,2022
id,4.0,guud,General Affair,2022
id,4.0,Sudah sangat bersih,General Affair,2022
id,3.0,Baik,General Affair,2022
id,4.0,Tidak ada,General Affair,2022
id,3.0,Baik,General Affair,2022
id,4.0,sudah cukup baik,General Affair,2022
id,3.0,-,General Affair,2022
id,4.0,-,General Affair,2022
id,3.0,Tarkasang masih saja ada sampah namun dikarenakan mahasiswa yang tidak peka,General Affair,2022
id,4.0,bersih,General Affair,2022
id,4.0,Sangat puas,General Affair,2022
id,,Sangat bersih lingkungan kampus,General Affair,2022
id,,Belum memakai fasilitas,General Affair,2022
id,4.0,lingkungan kampus yang bersih,General Affair,2022
id,,-,General Affair,2022
id,3.0,Tempat buang sampah,General Affair,2022
id,,Sangat baik,General Affair,2022
id,3.0,Bersih,General Affair,2022
id,,Kebersihan lingkungan kampus sangat terjamin.,General Affair,2022
id,3.0,Kebersihan sangat baik,General Affair,2022
id,4.0,Sangat puas dan harap dipertahankan demi kenyamanan kita semua,General Affair,2022
id,4.0,sangat bersih dan bagus.,General Affair,2022
id,4.0,Sangat bersih dan asri,General Affair,2022
id,4.0,Sangat bersih,General Affair,2022
id,3.0,Perlu ditingkatkan kembali kebersihannya,General Affair,2022
id,,sangat baik,General Affair,2022
id,3.0,-,General Affair,2022
id,3.0,Sudah baik,General Affair,2022
id,3.0,bagus,General Affair,2022
id,,menjaga setiap kebersihan kampus,General Affair,2022
id,,sudah baik,General Affair,2022
id,4.0,Baik,General Affair,2022
id,4.0,Sudah baik,General Affair,2022
id,,sudah sangat bersih,General Affair,2022
id,2.0,Sudah baik,General Affair,2022
id,3.0,Cukup bersih,General Affair,2022
id,,Bagus,General Affair,2022
id,2.0,Bagus,General Affair,2022
id,4.0,Bersih dan nyaman,General Affair,2022
id,4.0,Oke,General Affair,2022
id,3.0,tidak ada,General Affair,2022
id,,Dulu waktu offline masih kotor skali karpet dan beberapa atap bocor,General Affair,2022
id,,Sangat puas,General Affair,2022
id,4.0,Cukup puas,General Affair,2022
id,4.0,Sangat bersih,General Affair,2022
id,,Sangat puas,General Affair,2022
id,4.0,Sangat bersih dan rapih.,General Affair,2022
id,2.0,cari CS susah sekali,General Affair,2022
id,,Baik,General Affair,2022
id,4.0,sudah sangat baik dan terjaga,General Affair,2022
id,4.0,Lebih di perhatikan,General Affair,2022
id,,sangat bersih dan selalu dijaga baik staff dosen dan mahasiswa,General Affair,2022
id,,bagus,General Affair,2022
en,3.0,All good,General Affair,2022
id,4.0,bersih,General Affair,2022
id,4.0,Sangat puas,General Affair,2022
id,4.0,Puas,General Affair,2022
id,4.0,Baik,General Affair,2022
id,4.0,Sudah sangat baik,General Affair,2022
id,3.0,Sangat baik,General Affair,2022
id,4.0,Baik,General Affair,2022
id,4.0,Puas,General Affair,2022
id,3.0,Tidak ada,General Affair,2022
id,4.0,Tidak ada,General Affair,2022
id,,Sejauh ini sudah baik,General Affair,2022
id,4.0,Tidak ada,General Affair,2022
id,4.0,Sudah baik,General Affair,2022
id,4.0,sangat bagus,General Affair,2022
id,4.0,-,General Affair,2022
id,,Selama covid 19 kondisi lingkungan kampus tidak terawat. Mohon diperbaiki.,General Affair,2022
id,4.0,Tidak ada,General Affair,2022
id,,-,General Affair,2022
id,4.0,sangat bersih dalam lingkungan kampus,General Affair,2022
id,4.0,Sudah baik,General Affair,2022
id,3.0,Sudah sangat baik,General Affair,2022
id,4.0,Sudah baik dan sangat bersih,General Affair,2022
id,4.0,Bersih dan bebas dari kotoran lingkungam bersih sama sejuk,General Affair,2022
id,4.0,Sudah sangat baik,General Affair,2022
id,3.0,Perlu ditingkatkan,General Affair,2022
id,4.0,Baik,General Affair,2022
id,,"Masih sering terdapat guguran daun di trotoar dibiarkan tanpa dibersihkan dalam jangka waktu panjang meski cuaca memungkinkan, sebaiknya segera do bersihkan supaya tidak menyebabkan terpeleset.",General Affair,2022
id,3.0,Tidak ada,General Affair,2022
